id,forecastVolum
1,224
2,303
3,140
4,229
5,344
6,160
7,391
8,168
9,2089
10,302
11,606
12,156
13,259
14,295
15,562
16,360
17,257
18,243
19,513
20,102
21,255
22,219
23,257
24,253
25,174
26,156
27,512
28,363
29,745
30,242
31,7247
32,609
33,1228
34,337
35,533
36,565
37,1088
38,552
39,483
40,806
41,902
42,192
43,314
44,410
45,120
46,260
47,180
48,285
49,372
50,124
51,327
52,134
53,1235
54,156
55,348
56,97
57,323
58,293
59,312
60,221
61,192
62,98
63,360
64,139
65,219
66,200
67,138
68,220
69,131
70,70
71,353
72,247
73,304
74,133
75,2853
76,321
77,769
78,242
79,322
80,438
81,822
82,463
83,409
84,420
85,317
86,116
87,198
88,142
89,209
90,3605
91,513
92,102
93,1573
94,1733
95,3542
96,1803
97,1421
98,2287
99,2128
100,949
101,3470
102,4911
103,1330
104,1451
105,1701
106,460
107,1086
108,286
109,1891
110,492
111,263
112,429
113,433
114,50
115,932
116,1070
117,1519
118,483
119,6087
120,605
121,1374
122,758
123,1729
124,2263
125,815
126,996
127,1201
128,285
129,252
130,575
131,528
132,351
133,964
134,200
135,142
136,906
137,298
138,314
139,988
140,237
141,885
142,125
143,952
144,189
145,622
146,679
147,689
148,244
149,184
150,200
151,284
152,139
153,287
154,186
155,357
156,90
157,28
158,56
159,238
160,410
161,301
162,49
163,248
164,91
165,802
166,192
167,170
168,285
169,490
170,221
171,191
172,128
173,40
174,92
175,133
176,23
177,653
178,297
179,237
180,333
181,738
182,761
183,779
184,321
185,689
186,277
187,1163
188,684
189,549
190,803
191,693
192,807
193,863
194,357
195,216
196,334
197,307
198,120
199,612
200,285
201,248
202,28
203,1026
204,1547
205,1740
206,510
207,657
208,489
209,2928
210,925
211,1167
212,1746
213,1249
214,839
215,801
216,611
217,257
218,309
219,511
220,113
221,116
222,308
223,221
224,153
225,1020
226,646
227,1504
228,574
229,858
230,579
231,807
232,719
233,1109
234,2043
235,1255
236,758
237,832
238,520
239,175
240,471
241,945
242,113
243,66
244,440
245,292
246,40
247,758
248,591
249,1270
250,702
251,727
252,507
253,558
254,541
255,1390
256,1444
257,549
258,559
259,707
260,262
261,391
262,357
263,815
264,229
265,88
266,757
267,459
268,17
269,1240
270,999
271,1566
272,627
273,763
274,552
275,1019
276,769
277,1513
278,1893
279,734
280,844
281,808
282,382
283,226
284,381
285,705
286,369
287,281
288,987
289,680
290,161
291,1730
292,1747
293,2510
294,685
295,1558
296,703
297,2552
298,990
299,1941
300,4917
301,1328
302,1228
303,1690
304,589
305,644
306,693
307,776
308,473
309,505
310,438
311,413
312,654
313,689
314,834
315,1080
316,631
317,391
318,128
319,1333
320,324
321,1203
322,943
323,649
324,331
325,438
326,257
327,156
328,404
329,525
330,48
331,28
332,946
333,610
334,192
335,1881
336,411
337,2308
338,729
339,1318
340,406
341,615
342,374
343,2477
344,1486
345,502
346,460
347,1127
348,431
349,829
350,197
351,640
352,934
353,1258
354,831
355,410
356,194
357,1502
358,1501
359,1765
360,732
361,773
362,404
363,2163
364,934
365,1833
366,2288
367,1071
368,922
369,1055
370,631
371,394
372,689
373,780
374,180
375,249
376,671
377,648
378,47
379,1120
380,880
381,2486
382,1352
383,471
384,251
385,1211
386,401
387,2611
388,1823
389,544
390,256
391,474
392,285
393,584
394,315
395,806
396,478
397,256
398,344
399,425
400,662
401,873
402,547
403,1349
404,359
405,702
406,213
407,1009
408,283
409,1352
410,1237
411,613
412,484
413,445
414,327
415,519
416,343
417,429
418,592
419,307
420,223
421,48
422,34
423,343
424,413
425,472
426,29
427,354
428,93
429,600
430,324
431,292
432,313
433,652
434,315
435,372
436,200
437,119
438,146
439,103
440,82
441,361
442,409
443,382
444,207
445,1309
446,834
447,1231
448,387
449,553
450,259
451,1449
452,426
453,1724
454,1602
455,982
456,608
457,486
458,383
459,439
460,309
461,424
462,360
463,360
464,194
465,165
466,264
467,403
468,402
469,811
470,154
471,357
472,136
473,941
474,193
475,808
476,700
477,780
478,235
479,236
480,180
481,174
482,75
483,230
484,163
485,16
486,39
487,33
488,15
489,160
490,380
491,567
492,191
493,60
494,72
495,208
496,62
497,506
498,353
499,40
500,167
501,170
502,17
503,104
504,56
505,108
506,70
507,557
508,230
509,86
510,522
511,536
512,307
513,492
514,116
515,1011
516,152
517,1235
518,216
519,318
520,306
521,1140
522,319
523,271
524,434
525,214
526,253
527,223
528,67
529,259
530,146
531,78
532,191
533,333
534,189
535,269
536,80
537,485
538,116
539,582
540,130
541,176
542,173
543,513
544,234
545,183
546,218
547,113
548,125
549,126
550,46
551,556
552,264
553,111
554,649
555,492
556,291
557,459
558,143
559,894
560,153
561,953
562,198
563,304
564,298
565,877
566,391
567,268
568,348
569,223
570,240
571,230
572,77
573,125
574,35
575,12
576,94
577,90
578,88
579,170
580,16
581,136
582,19
583,305
584,27
585,128
586,84
587,274
588,49
589,42
590,24
591,34
592,22
593,39
594,7
595,486
596,182
597,137
598,424
599,517
600,353
601,484
602,137
603,691
604,111
605,1116
606,204
607,357
608,338
609,1145
610,371
611,339
612,226
613,302
614,165
615,269
616,110
617,280
618,128
619,98
620,152
621,263
622,198
623,326
624,92
625,464
626,92
627,578
628,143
629,218
630,194
631,615
632,271
633,199
634,175
635,94
636,85
637,116
638,41
639,406
640,224
641,149
642,615
643,469
644,297
645,539
646,134
647,962
648,162
649,1001
650,236
651,374
652,369
653,825
654,436
655,355
656,259
657,274
658,174
659,255
660,118
661,550
662,273
663,97
664,480
665,518
666,397
667,472
668,103
669,1098
670,167
671,1086
672,217
673,364
674,330
675,1253
676,299
677,398
678,332
679,208
680,257
681,222
682,94
683,212
684,701
685,154
686,68
687,494
688,1122
689,1876
690,485
691,2875
692,2301
693,1385
694,497
695,1153
696,4725
697,733
698,603
699,973
700,335
701,425
702,191
703,698
704,358
705,492
706,228
707,342
708,28
709,584
710,393
711,744
712,184
713,178
714,100
715,1063
716,308
717,603
718,541
719,491
720,200
721,362
722,220
723,62
724,131
725,641
726,75
727,426
728,140
729,57
730,69
731,168
732,133
733,250
734,67
735,115
736,35
737,401
738,78
739,166
740,176
741,242
742,85
743,126
744,80
745,30
746,85
747,118
748,27
749,190
750,84
751,81
752,373
753,394
754,215
755,601
756,160
757,1098
758,285
759,655
760,247
761,418
762,295
763,563
764,486
765,384
766,529
767,210
768,316
769,162
770,50
771,200
772,317
773,397
774,451
775,652
776,211
777,583
778,256
779,1431
780,288
781,493
782,262
783,633
784,554
785,511
786,891
787,482
788,320
789,451
790,424
791,444
792,242
793,61
794,143
795,90
796,19
797,294
798,177
799,259
800,82
801,516
802,145
803,434
804,216
805,200
806,355
807,361
808,202
809,282
810,183
811,120
812,118
813,86
814,59
815,221
816,242
817,361
818,160
819,800
820,583
821,1679
822,728
823,7235
824,1387
825,1504
826,906
827,1429
828,1418
829,1080
830,859
831,1163
832,850
833,1102
834,511
835,385
836,626
837,225
838,400
839,323
840,298
841,406
842,404
843,959
844,419
845,1926
846,309
847,831
848,349
849,851
850,793
851,690
852,970
853,574
854,530
855,648
856,210
857,398
858,492
859,129
860,283
861,182
862,88
863,336
864,337
865,483
866,219
867,1363
868,259
869,668
870,271
871,424
872,554
873,591
874,703
875,314
876,386
877,266
878,123
879,221
880,189
881,157
882,20
883,23
884,160
885,34
886,58
887,286
888,86
889,680
890,22
891,283
892,31
893,218
894,156
895,296
896,45
897,27
898,58
899,98
900,20
901,27
902,32
903,169
904,274
905,110
906,115
907,392
908,271
909,484
910,170
911,2325
912,267
913,524
914,271
915,410
916,394
917,554
918,471
919,385
920,452
921,260
922,135
923,138
924,133
925,250
926,117
927,161
928,295
929,282
930,307
931,684
932,247
933,1787
934,118
935,725
936,198
937,587
938,461
939,892
940,438
941,385
942,335
943,614
944,122
945,186
946,277
947,199
948,62
949,47
950,259
951,208
952,106
953,190
954,43
955,317
956,39
957,199
958,58
959,121
960,118
961,104
962,113
963,103
964,86
965,78
966,104
967,110
968,39
969,124
970,89
971,57
972,6
973,250
974,495
975,477
976,102
977,446
978,61
979,564
980,360
981,326
982,612
983,708
984,304
985,238
986,188
987,35
988,24
989,77
990,13
991,17
992,60
993,37
994,10
995,155
996,221
997,328
998,22
999,97
1000,20
1001,312
1002,148
1003,269
1004,349
1005,313
1006,215
1007,214
1008,79
1009,59
1010,18
1011,107
1012,41
1013,244
1014,98
1015,37
1016,92
1017,573
1018,636
1019,629
1020,112
1021,632
1022,154
1023,1405
1024,368
1025,368
1026,1395
1027,809
1028,400
1029,385
1030,320
1031,113
1032,260
1033,206
1034,42
1035,34
1036,164
1037,364
1038,10
1039,524
1040,266
1041,1342
1042,600
1043,442
1044,259
1045,373
1046,184
1047,1355
1048,768
1049,439
1050,198
1051,231
1052,240
1053,499
1054,95
1055,327
1056,295
1057,252
1058,324
1059,182
1060,156
1061,608
1062,780
1063,672
1064,180
1065,570
1066,187
1067,865
1068,546
1069,709
1070,1073
1071,1168
1072,526
1073,453
1074,300
1075,112
1076,221
1077,321
1078,77
1079,133
1080,132
1081,15
1082,17
1083,184
1084,196
1085,341
1086,54
1087,263
1088,92
1089,474
1090,135
1091,334
1092,295
1093,282
1094,145
1095,112
1096,168
1097,33
1098,79
1099,118
1100,15
1123,321
1124,194
1125,34
1126,56
1127,516
1128,555
1129,387
1130,54
1131,844
1132,198
1133,969
1134,258
1135,303
1136,485
1137,681
1138,305
1139,279
1140,465
1141,64
1142,283
1143,161
1144,41
1145,266
1146,322
1147,179
1148,306
1149,526
1150,248
1151,560
1152,148
1153,937
1154,175
1155,478
1156,175
1157,451
1158,449
1159,342
1160,300
1161,336
1162,182
1163,189
1164,370
1165,246
1166,210
1167,221
1168,281
1169,180
1170,58
1171,730
1172,1004
1173,902
1174,281
1175,696
1176,395
1177,1215
1178,462
1179,746
1180,1663
1181,508
1182,423
1183,785
1184,403
1185,132
1186,403
1187,727
1188,90
1189,28
1190,69
1191,145
1192,8
1193,140
1194,191
1195,394
1196,73
1197,35
1198,18
1199,112
1200,121
1201,197
1202,381
1203,58
1204,179
1205,544
1206,17
1207,49
1208,90
1209,319
1210,80
1211,85
1212,397
1213,344
1214,66
1215,1083
1216,416
1217,660
1218,548
1219,478
1220,215
1221,550
1222,316
1223,1036
1224,909
1225,343
1226,289
1227,450
1228,183
1229,128
1230,616
1231,617
1232,111
1233,227
1234,571
1235,488
1236,193
1237,1465
1238,677
1239,727
1240,351
1241,760
1242,287
1243,944
1244,367
1245,829
1246,1295
1247,599
1248,486
1249,854
1250,294
1251,171
1252,1170
1253,683
1254,146
1255,12
1256,621
1257,28
1258,98
1259,333
1260,99
1261,302
1262,73
1263,295
1264,24
1265,343
1266,43
1267,380
1268,408
1269,190
1270,270
1271,202
1272,66
1273,103
1274,384
1275,122
1276,14
1277,50
1278,133
1279,86
1280,25
1281,457
1282,177
1283,324
1284,136
1285,205
1286,133
1287,327
1288,113
1289,462
1290,420
1291,151
1292,54
1293,232
1294,76
1295,11
1296,509
1297,358
1298,6
1299,616
1300,70
1301,67
1302,34
1303,400
1304,475
1305,439
1306,190
1307,347
1308,161
1309,846
1310,358
1311,372
1312,851
1313,342
1314,375
1315,377
1316,115
1317,28
1318,68
1319,182
1320,7
1321,116
1322,107
1323,66
1324,60
1325,237
1326,201
1327,156
1328,38
1329,505
1330,195
1331,360
1332,93
1333,118
1334,140
1335,326
1336,224
1337,328
1338,112
1339,85
1340,122
1341,247
1342,49
1343,174
1344,193
1345,110
1346,218
1347,218
1348,114
1349,269
1350,130
1351,1666
1352,199
1353,463
1354,102
1355,198
1356,207
1357,377
1358,209
1359,161
1360,172
1361,467
1362,77
1363,185
1364,191
1365,229
1366,218
1367,130
1368,153
1369,463
1370,228
1371,669
1372,197
1373,6221
1374,503
1375,1296
1376,244
1377,492
1378,474
1379,1024
1380,427
1381,384
1382,761
1383,991
1384,148
1385,228
1386,442
1387,75
1388,158
1389,125
1390,233
1391,195
1392,88
1393,205
1394,80
1395,980
1396,102
1397,242
1398,64
1399,227
1400,187
1401,227
1402,142
1403,111
1404,63
1405,261
1406,91
1407,143
1408,129
1409,97
1410,138
1411,88
1412,61
1413,190
1414,155
1415,199
1416,97
1417,2093
1418,188
1419,635
1420,155
1421,276
1422,258
1423,699
1424,235
1425,226
1426,236
1427,245
1428,78
1429,138
1430,117
1431,161
1432,2929
1433,407
1434,79
1435,1306
1436,1472
1437,2868
1438,1307
1439,1398
1440,1663
1441,2027
1442,671
1443,3083
1444,3129
1445,1357
1446,1091
1447,1267
1448,426
1449,846
1450,208
1451,1098
1452,429
1453,168
1454,267
1455,278
1456,36
1457,576
1458,667
1459,892
1460,298
1461,3592
1462,356
1463,1017
1464,392
1465,1377
1466,1436
1467,539
1468,581
1469,752
1470,184
1471,187
1472,300
1473,273
1474,263
1475,839
1476,143
1477,110
1478,904
1479,202
1480,205
1481,720
1482,182
1483,588
1484,86
1485,757
1486,133
1487,474
1488,471
1489,511
1490,166
1491,134
1492,154
1493,216
1494,105
1495,201
1496,151
1497,181
1498,47
1499,16
1500,39
1501,131
1502,185
1503,169
1504,27
1505,147
1506,43
1507,505
1508,109
1509,116
1510,148
1511,253
1512,120
1513,106
1514,70
1515,23
1516,46
1517,77
1518,14
1519,416
1520,183
1521,143
1522,238
1523,442
1524,383
1525,438
1526,181
1527,414
1528,142
1529,781
1530,351
1531,309
1532,485
1533,440
1534,420
1535,415
1536,196
1537,127
1538,169
1539,152
1540,83
1541,444
1542,166
1543,160
1544,34
1545,640
1546,879
1547,1223
1548,335
1549,497
1550,298
1551,2479
1552,571
1553,823
1554,1051
1555,934
1556,484
1557,496
1558,387
1559,170
1560,164
1561,285
1562,83
1563,74
1564,177
1565,147
1566,112
1567,640
1568,382
1569,939
1570,300
1571,512
1572,308
1573,567
1574,376
1575,683
1576,1002
1577,786
1578,343
1579,436
1580,311
1581,128
1582,276
1583,482
1584,82
1585,41
1586,252
1587,186
1588,43
1589,439
1590,341
1591,746
1592,426
1593,455
1594,277
1595,387
1596,281
1597,965
1598,767
1599,351
1600,296
1601,364
1602,175
1603,242
1604,185
1605,441
1606,163
1607,71
1608,520
1609,273
1610,30
1611,1014
1612,612
1613,1065
1614,409
1615,462
1616,303
1617,918
1618,403
1619,1168
1620,1055
1621,520
1622,454
1623,421
1624,273
1625,190
1626,225
1627,405
1628,326
1629,162
1630,561
1631,398
1632,85
1633,885
1634,728
1635,1363
1636,398
1637,784
1638,350
1639,1652
1640,432
1641,1146
1642,1808
1643,829
1644,529
1645,714
1646,307
1647,395
1648,336
1649,384
1650,317
1651,349
1652,256
1653,252
1654,587
1655,403
1656,425
1657,706
1658,422
1659,235
1660,68
1661,1008
1662,168
1663,868
1664,583
1665,374
1666,164
1667,233
1668,150
1669,109
1670,224
1671,306
1672,39
1673,32
1674,649
1675,408
1676,166
1677,1476
1678,243
1679,1692
1680,460
1681,977
1682,248
1683,495
1684,197
1685,1922
1686,1022
1687,349
1688,256
1689,672
1690,277
1691,683
1692,127
1693,380
1694,784
1695,719
1696,479
1697,231
1698,198
1699,981
1700,845
1701,1174
1702,508
1703,510
1704,212
1705,1606
1706,478
1707,1292
1708,1285
1709,729
1710,432
1711,560
1712,400
1713,247
1714,401
1715,449
1716,137
1717,224
1718,323
1719,332
1720,37
1721,678
1722,478
1723,1603
1724,856
1725,264
1726,136
1727,869
1728,192
1729,1865
1730,1040
1731,389
1732,127
1733,227
1734,159
1735,385
1736,180
1737,450
1738,296
1739,175
1740,232
1741,291
1742,668
1743,557
1744,343
1745,969
1746,278
1747,460
1748,147
1749,828
1750,174
1751,1198
1752,934
1753,435
1754,295
1755,238
1756,212
1757,481
1758,207
1759,273
1760,609
1761,279
1762,185
1763,58
1764,83
1765,304
1766,271
1767,351
1768,51
1769,320
1770,75
1771,511
1772,226
1773,271
1774,279
1775,562
1776,238
1777,266
1778,180
1779,110
1780,109
1781,103
1782,92
1783,214
1784,246
1785,223
1786,211
1787,978
1788,545
1789,825
1790,252
1791,406
1792,150
1793,1296
1794,231
1795,1395
1796,990
1797,695
1798,316
1799,271
1800,262
1801,381
1802,169
1803,225
1804,358
1805,352
1806,153
1807,127
1808,304
1809,353
1810,306
1811,782
1812,130
1813,309
1814,102
1815,1139
1816,135
1817,829
1818,631
1819,951
1820,191
1821,203
1822,170
1823,157
1824,65
1825,181
1826,160
1827,9
1828,11
1829,17
1830,9
1831,68
1832,192
1833,275
1834,99
1835,34
1836,20
1837,115
1838,16
1839,276
1840,154
1841,18
1842,65
1843,65
1844,8
1845,62
1846,22
1847,37
1848,37
1849,450
1850,160
1851,68
1852,418
1853,360
1854,197
1855,351
1856,94
1857,772
1858,114
1859,1076
1860,145
1861,236
1862,200
1863,995
1864,202
1865,180
1866,260
1867,172
1868,171
1869,154
1870,66
1871,157
1872,89
1873,49
1874,142
1875,170
1876,114
1877,150
1878,52
1879,287
1880,66
1881,384
1882,72
1883,134
1884,119
1885,330
1886,137
1887,114
1888,136
1889,70
1890,70
1891,73
1892,31
1893,416
1894,174
1895,76
1896,522
1897,347
1898,169
1899,302
1900,105
1901,661
1902,99
1903,720
1904,123
1905,205
1906,188
1907,621
1908,219
1909,164
1910,205
1911,159
1912,149
1913,147
1914,64
1915,91
1916,29
1917,17
1918,76
1919,88
1920,55
1921,130
1922,19
1923,121
1924,19
1925,259
1926,19
1927,130
1928,85
1929,254
1930,30
1931,28
1932,28
1933,33
1934,21
1935,30
1936,19
1937,350
1938,140
1939,107
1940,326
1941,366
1942,202
1943,340
1944,99
1945,491
1946,64
1947,782
1948,125
1949,283
1950,204
1951,816
1952,201
1953,184
1954,167
1955,216
1956,107
1957,164
1958,87
1959,199
1960,93
1961,74
1962,121
1963,184
1964,136
1965,229
1966,67
1967,315
1968,63
1969,547
1970,103
1971,170
1972,139
1973,515
1974,166
1975,134
1976,130
1977,80
1978,59
1979,81
1980,39
1981,248
1982,142
1983,93
1984,375
1985,291
1986,174
1987,291
1988,80
1989,550
1990,90
1991,629
1992,136
1993,242
1994,218
1995,544
1996,245
1997,187
1998,154
1999,178
2000,96
2001,151
2002,74
2003,438
2004,218
2005,87
2006,366
2007,374
2008,291
2009,355
2010,104
2011,810
2012,137
2013,982
2014,159
