key	province	short_of_province	quarter	gdp
安徽省_2005A	安徽省	安徽	2005A	1076.38
安徽省_2005B	安徽省	安徽	2005B	2568.14
安徽省_2005C	安徽省	安徽	2005C	3930.13
安徽省_2005D	安徽省	安徽	2005D	5375.84
安徽省_2006A	安徽省	安徽	2006A	1212.94
安徽省_2006B	安徽省	安徽	2006B	2886.12
安徽省_2006C	安徽省	安徽	2006C	4433.01
安徽省_2006D	安徽省	安徽	2006D	6141.91
安徽省_2007A	安徽省	安徽	2007A	1418.72
安徽省_2007B	安徽省	安徽	2007B	3404.58
安徽省_2007C	安徽省	安徽	2007C	5203.8
安徽省_2007D	安徽省	安徽	2007D	7345.69
安徽省_2008A	安徽省	安徽	2008A	1725.05
安徽省_2008B	安徽省	安徽	2008B	4180.74
安徽省_2008C	安徽省	安徽	2008C	6295.99
安徽省_2008D	安徽省	安徽	2008D	8874.17
安徽省_2009A	安徽省	安徽	2009A	1885.31
安徽省_2009B	安徽省	安徽	2009B	4512.9
安徽省_2009C	安徽省	安徽	2009C	7200.52
安徽省_2009D	安徽省	安徽	2009D	10052.86
安徽省_2010A	安徽省	安徽	2010A	2303.28
安徽省_2010B	安徽省	安徽	2010B	5537.15
安徽省_2010C	安徽省	安徽	2010C	8820.79
安徽省_2010D	安徽省	安徽	2010D	12263.36
安徽省_2011A	安徽省	安徽	2011A	2843.23
安徽省_2011B	安徽省	安徽	2011B	6883.31
安徽省_2011C	安徽省	安徽	2011C	11078.1
安徽省_2011D	安徽省	安徽	2011D	15110.31
安徽省_2012A	安徽省	安徽	2012A	3289.35
安徽省_2012B	安徽省	安徽	2012B	7781.94
安徽省_2012C	安徽省	安徽	2012C	12516.3
安徽省_2012D	安徽省	安徽	2012D	17212.05
安徽省_2013A	安徽省	安徽	2013A	3652.36
安徽省_2013B	安徽省	安徽	2013B	8591.28
安徽省_2013C	安徽省	安徽	2013C	13613.86
安徽省_2013D	安徽省	安徽	2013D	19038.9
安徽省_2014A	安徽省	安徽	2014A	3971.15
安徽省_2014B	安徽省	安徽	2014B	9350.54
安徽省_2014C	安徽省	安徽	2014C	14709.5
安徽省_2014D	安徽省	安徽	2014D	20848.75
安徽省_2015A	安徽省	安徽	2015A	4238.27
安徽省_2015B	安徽省	安徽	2015B	9976.57
安徽省_2015C	安徽省	安徽	2015C	15628.23
安徽省_2015D	安徽省	安徽	2015D	22005.6
安徽省_2016A	安徽省	安徽	2016A	4647.26
安徽省_2016B	安徽省	安徽	2016B	11028.49
安徽省_2016C	安徽省	安徽	2016C	17131.95
安徽省_2016D	安徽省	安徽	2016D	24117.87
安徽省_2017A	安徽省	安徽	2017A	5826.82
安徽省_2017B	安徽省	安徽	2017B	12645.41
安徽省_2017C	安徽省	安徽	2017C	19811.35
安徽省_2017D	安徽省	安徽	2017D	27518.67
安徽省_2018A	安徽省	安徽	2018A	6601.41
安徽省_2018B	安徽省	安徽	2018B	14263.97
安徽省_2018C	安徽省	安徽	2018C	21632.94
北京市_2005A	北京市	北京	2005A	1023.87
北京市_2005B	北京市	北京	2005B	2274.45
北京市_2005C	北京市	北京	2005C	3542.04
北京市_2005D	北京市	北京	2005D	6814.53
北京市_2006A	北京市	北京	2006A	1681.56
北京市_2006B	北京市	北京	2006B	3538.02
北京市_2006C	北京市	北京	2006C	5513.18
北京市_2006D	北京市	北京	2006D	7720.33
北京市_2007A	北京市	北京	2007A	1882.78
北京市_2007B	北京市	北京	2007B	4064.26
北京市_2007C	北京市	北京	2007C	6419.78
北京市_2007D	北京市	北京	2007D	9006.23
北京市_2008A	北京市	北京	2008A	2148.34
北京市_2008B	北京市	北京	2008B	4972.8
北京市_2008C	北京市	北京	2008C	7586.27
北京市_2008D	北京市	北京	2008D	10488.03
北京市_2009A	北京市	北京	2009A	2511.88
北京市_2009B	北京市	北京	2009B	5308.43
北京市_2009C	北京市	北京	2009C	8161.44
北京市_2009D	北京市	北京	2009D	11865.93
北京市_2010A	北京市	北京	2010A	3116.99
北京市_2010B	北京市	北京	2010B	6372.62
北京市_2010C	北京市	北京	2010C	9754.36
北京市_2010D	北京市	北京	2010D	13777.94
北京市_2011A	北京市	北京	2011A	3508.97
北京市_2011B	北京市	北京	2011B	7418.07
